scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
SJF_ORACLE,979,1807.746680286006,0.0,9756.599999999995,99333.0,2.9958436213682242,7.36696411709158,4667.758937691522,0.9232178501869611,0.7717752185739488,0,lanl,9,1024,1249,0,0.7802638527199074
SJF_USEREST,979,1870.567926455567,0.0,10986.3,108130.0,2.6093523587662757,5.7518543137492255,4730.580183861082,0.9345111862910892,0.7712957541708331,0,lanl,9,1024,1249,0,0.7802638527199074
HRRN_USEREST,979,1537.1133810010215,0.0,10224.799999999952,52280.0,2.961006899333771,6.291875,4397.125638406537,0.9089377072017675,0.7757279987273489,0,lanl,9,1024,1249,0,0.7802638527199074
SMALLEST_FIRST,979,2530.82328907048,0.0,19407.299999999934,59614.0,4.2094815196239965,7.850330022455727,5390.835546475996,0.9211356346631863,0.7693487177863141,0,lanl,9,1024,1249,0,0.7802638527199074
EASY_USEREST,979,2688.868232890705,347.0,11905.799999999945,28760.0,10.675594520792332,64.73249999999999,5548.880490296221,0.7349493430453077,0.7740686160532314,0,lanl,9,1024,1249,0,0.7802638527199074
EASY_ORACLE,979,2530.2369765066396,363.0,11530.299999999985,25475.0,7.955235773824399,35.11999999999954,5390.249233912155,0.7317626183970989,0.7757279987273489,0,lanl,9,1024,1249,0,0.7802638527199074
CONS_BF_USEREST,979,3570.1430030643514,1161.0,14177.699999999984,28656.0,13.463774532894483,87.39822014051519,6430.155260469867,0.6773685985214973,0.7741272812508253,0,lanl,9,1024,1249,0,0.7802638527199074
SRPT_ORACLE,979,1420.1787538304393,0.0,3316.4999999999923,286667.0,1.1145811204280323,1.476957331536775,4280.191011235955,0.9740908088637161,0.7719143249387063,312,lanl,9,1024,1249,0,0.7802638527199074
PROACTIVE,979,1866.9427987742595,0.0,12880.899999999961,47632.0,4.1532037399159725,7.254247180027915,4726.955056179775,0.9090188071131614,0.7757279987273489,0,lanl,9,1024,1249,0,0.7802638527199074
PROACTIVE_EST,979,2596.9009193054135,0.0,8735.699999999977,195501.0,5.085096102921983,14.76749999999993,5456.913176710929,0.9262984203713881,0.7707719390263422,0,lanl,9,1024,1249,0,0.7802638527199074
FCFS,960,1178.053125,0.0,7268.15,31067.0,4.068086211667383,18.772769320843064,4471.195833333333,0.8959751974626805,0.773742799864468,0,lanl,10,1024,1320,0,0.8008363353587963
FIFO_STRICT,960,6285.960416666667,1326.0,30513.84999999999,39842.0,32.416278390162475,215.17427536231875,9579.103125,0.7233689373684721,0.7543692829964458,0,lanl,10,1024,1320,0,0.8008363353587963
SJF_ORACLE,960,718.8864583333333,0.0,3295.249999999999,100636.0,2.0767227452970136,5.0220202769535085,4012.0291666666667,0.9408384226448796,0.7679342629669995,0,lanl,10,1024,1320,0,0.8008363353587963
SJF_USEREST,960,991.7489583333333,0.0,4666.349999999992,104664.0,2.9104282814020053,8.730660298307338,4284.891666666666,0.9279058961581269,0.7645164928081004,0,lanl,10,1024,1320,0,0.8008363353587963
