mean_wait,max_wait,p95_wait,mean_turnaround,mean_bounded_slowdown,throughput,fairness_gini,gpu_util,preemptions,pred_wait_mae,run,scheduler
8.063636363636364,77.0,50.84999999999998,19.936363636363637,1.973108323721186,0.36666666666666664,0.8076970380239828,0.5796875,0,8.640957946300675,2,PROACTIVE
8.227272727272727,77.0,50.84999999999998,20.1,1.990621085024054,0.36666666666666664,0.8074836765444501,0.5796875,0,8.768438533985758,2,NN
9.136363636363637,34.0,28.19999999999999,21.009090909090908,1.8866155761163503,0.36666666666666664,0.5094979647218453,0.5796875,0,,2,BACKFILL
7.672727272727273,35.0,26.0,19.545454545454547,1.7494521401371246,0.36666666666666664,0.5732012063765619,0.5796875,0,,2,BACKFILL_EST
9.50909090909091,32.0,26.0,21.381818181818183,1.9203154386970878,0.36666666666666664,0.4861637406570485,0.5796875,0,,2,CONS_BF
8.336363636363636,35.0,26.549999999999997,20.20909090909091,1.8254942815338957,0.36666666666666664,0.5442946366610489,0.5796875,0,4.659782432769002,2,PROACTIVE_BF
7.081818181818182,85.0,42.64999999999999,18.954545454545453,1.4222987919920091,0.36666666666666664,0.8052398179484187,0.5929166666666666,35,,2,SRPT
22.645454545454545,56.0,52.0,35.58181818181818,3.166954118019767,0.36666666666666664,0.48696397941680963,0.67375,0,,3,FIFO
30.463636363636365,61.0,57.0,43.4,3.7945550377164503,0.36666666666666664,0.31094924174601885,0.67375,0,,3,FIFO_STRICT
15.781818181818181,182.0,100.39999999999998,28.71818181818182,2.035896096038933,0.36666666666666664,0.8054985337243402,0.67375,0,,3,SJF
17.98181818181818,182.0,94.44999999999989,30.918181818181818,2.2873213603483795,0.36666666666666664,0.7830682967184484,0.67375,0,,3,SJF_EST
20.954545454545453,146.0,100.55,33.89090909090909,2.9573752873686026,0.36666666666666664,0.7506882271741274,0.67375,0,,3,PRIORITY
20.172727272727272,66.0,58.099999999999994,33.10909090909091,2.6656376155429773,0.36666666666666664,0.5145274284075546,0.67375,0,,3,HRRN
21.12727272727273,175.0,118.55,34.06363636363636,3.0151348046049704,0.36666666666666664,0.7997183539352214,0.67375,0,,3,SMALLEST
21.12727272727273,175.0,118.55,34.06363636363636,3.0151348046049704,0.36666666666666664,0.7997183539352214,0.67375,0,22.699067776582456,3,PROACTIVE
21.12727272727273,175.0,118.55,34.06363636363636,3.0151348046049704,0.36666666666666664,0.7997183539352214,0.67375,0,23.0965426401317,3,NN
23.618181818181817,55.0,49.0,36.554545454545455,3.2034626205798453,0.36666666666666664,0.4153474700818811,0.67375,0,,3,BACKFILL
24.69090909090909,58.0,52.0,37.627272727272725,3.312240324565823,0.36666666666666664,0.4192596063730084,0.67375,0,,3,BACKFILL_EST
26.62727272727273,56.0,50.0,39.56363636363636,3.381652841794976,0.36666666666666664,0.3165368260964027,0.67375,0,,3,CONS_BF
23.263636363636362,61.0,54.0,36.2,3.1725335298125894,0.36666666666666664,0.47251767380724,0.67375,0,9.127780707553029,3,PROACTIVE_BF
17.972727272727273,179.0,128.55,30.90909090909091,1.9990570595242705,0.36666666666666664,0.8218926748517036,0.6894791666666666,37,,3,SRPT
16.836363636363636,55.0,51.099999999999994,29.28181818181818,2.713553358328196,0.36666666666666664,0.5724229334380523,0.65,0,,4,FIFO
28.527272727272727,58.0,56.0,40.972727272727276,3.7637799406241568,0.36666666666666664,0.3478706761689554,0.65,0,,4,FIFO_STRICT
